ts,current,voltage,shunt_voltage
1716842214.22109,38.40243902439024,5.1,3.86
1716842214.222504,38.59756097560975,5.1,3.86
1716842214.223875,38.09756097560975,5.1,3.81
1716842214.225239,38.0,5.1,3.8000000000000003
1716842214.226593,38.0,5.104,3.8000000000000003
1716842214.227947,38.0,5.1,3.8000000000000003
1716842214.229296,38.0,5.1,3.8000000000000003
1716842214.230646,38.09756097560975,5.1,3.8000000000000003
1716842214.232018,38.0,5.104,3.84
1716842214.233377,38.09756097560975,5.1,3.81
1716842214.234733,38.09756097560975,5.1,3.81
1716842214.236089,38.09756097560975,5.104,3.84
1716842214.237447,38.40243902439024,5.104,3.8200000000000003
1716842214.239641,38.19512195121951,5.1,3.83
1716842214.241069,38.69512195121951,5.1,3.87
1716842214.242478,38.09756097560975,5.1,3.81
1716842214.243856,38.09756097560975,5.1,3.81
1716842214.245219,38.09756097560975,5.1,3.8000000000000003
1716842214.246575,38.0,5.1,3.8000000000000003
1716842214.247924,38.40243902439024,5.1,3.81
1716842214.249286,38.09756097560975,5.1,3.81
1716842214.250646,38.09756097560975,5.1,3.81
1716842214.252019,38.0,5.104,3.8000000000000003
1716842214.253379,38.0,5.1,3.81
1716842214.254685,38.09756097560975,5.1,3.81
1716842214.255946,38.09756097560975,5.104,3.81
1716842214.257244,38.5,5.1,3.85
1716842214.25851,38.19512195121951,5.1,3.8200000000000003
1716842214.259769,38.292682926829265,5.1,3.87
1716842214.261034,38.69512195121951,5.1,3.81
1716842214.262307,38.09756097560975,5.1,3.85
1716842214.263564,38.5,5.1,3.81
1716842214.26482,38.09756097560975,5.104,3.81
1716842214.266082,38.0,5.104,3.8000000000000003
1716842214.267343,38.0,5.1,3.8000000000000003
1716842214.268601,38.0,5.1,3.81
1716842214.269859,38.09756097560975,5.1,3.8000000000000003
1716842214.271125,38.0,5.1,3.8000000000000003
1716842214.272426,38.5,5.1,3.85
1716842214.273689,38.0,5.1,3.8000000000000003
1716842214.274948,38.09756097560975,5.1,3.81
1716842214.276209,38.09756097560975,5.104,3.84
1716842214.277471,38.40243902439024,5.1,3.8200000000000003
1716842214.278732,38.19512195121951,5.104,3.83
1716842214.279994,38.69512195121951,5.1,3.87
1716842214.281256,38.19512195121951,5.1,3.8200000000000003
1716842214.282534,38.09756097560975,5.104,3.81
1716842214.2838,38.09756097560975,5.104,3.8000000000000003
1716842214.285067,38.0,5.1,3.81
1716842214.286328,38.09756097560975,5.104,3.81
1716842214.287596,38.40243902439024,5.104,3.84
1716842214.28886,38.0,5.104,3.8000000000000003
1716842214.290112,38.0,5.104,3.8000000000000003
1716842214.291364,38.0,5.1,3.81
1716842214.292661,38.09756097560975,5.104,3.8000000000000003
1716842214.293919,38.0,5.104,3.81
1716842214.295171,38.09756097560975,5.1,3.81
1716842214.296428,38.09756097560975,5.1,3.81
1716842214.297685,38.59756097560975,5.104,3.84
1716842214.298948,38.40243902439024,5.1,3.87
1716842214.300206,38.69512195121951,5.1,3.81
1716842214.301496,38.09756097560975,5.096,3.8200000000000003
1716842214.303577,38.19512195121951,5.1,3.81
1716842214.304859,38.0,5.1,3.8000000000000003
